imdb_votes,tmdb_popularity
525,34.003
1806,18.766
442,72.312
448,7.098
749,2.518
13210,7.616
23011,9.807
80643,9.311
9955,46.955
7116,10.953
1165,61.671
614,3.31
42763,14.921
1065,4.324
55806,29.498
4139,13.146
60,6.992
313,570.879
426,2.537
246008,44.046
549,3.058
2884,5.686
19332,21.561
80129,11.978
522,6.351
5122,14.674
294,3.422
4168,11.127
25253,79.676
6305,10.73
389,0.992
1100,7.089
67748,12.377
45243,13.359
161,2.211
154049,17.267
57514,27.95
124,2.389
21843,12.841
106,1.104
4478,7.006
2114,11.756
376,1.507
18840,57.516
1222,18.311
947,4.624
314,4.813
4544,12.438
858,5.634
24733,10.605
533,5.891
12278,15.761
10257,13.833
9942,53.956
1913,4.051
2307,3.406
1513,2.851
515,1.733
74,3.951
1357,2.699
601,3.282
297,5.331
8884,11.096
705,4.481
404920,352.657
8711,20.096
9059,26.43
172,0.776
31193,9.934
156,1.112
2776,14.702
21540,9.565
1883,29.563
195,1.314
1007,3.356
353,4.036
8587,3.874
457,8.763
51,12.271
435503,21.904
74660,68.109
577,4.904
1936,11.432
12046,65.327
6986,84.672
118,4.684
2609,13.949
4934,13.293
888,2.16
7367,9.946
7954,6.968
10649,6.247
7123,5.351
7370,7.25
3085,3.88
7233,9.87
1208,5.059
11747,7.659
118,2.535
9346,13.252
325194,38.353
781,3.189
249,2.403
8112,21.99
3274,18.993
74,0.6
302,9.613
1544,7.192
1856,27.454
17101,944.405
295,2.297
129,2.334
4790,13.209
20611,7.425
459,12.706
292,2.068
2697,72.304
24646,67.65
515577,74.102
123377,14.353
5975,47.857
1758,3.891
10705,13.547
28657,28.71
58192,57.038
267181,47.411
214461,50.32
539864,61.861
175210,34.514
7968,41.231
133,4.741
116,2.467
11406,21.592
2151,32.64
2416,45.266
665,1.323
3255,5.84
172,1.627
2608,6.769
145,1.72
906,12.154
536858,40.209
1533,29.476
140,3.209
44006,65.137
815,3.38
33051,26.858
50028,24.67
255099,19.789
2876,11.497
466,1.941
722,5.328
12741,44.755
17033,8.648
6432,28.612
1712,17.658
6313,3.463
44074,12.489
14356,7.462
11488,5.747
118,4.221
143584,92.62
5674,11.287
349,17.987
2310,2.862
1759,4.283
350,0.789
224896,16.693
25592,7.043
52,2.095
743,33.482
2846,7.771
418,1.632
12512,3.771
4841,3.164
608,2.118
5372,4.856
61,5.868
4126,6.827
15871,19.611
111189,15.309
15,16.037
390,4.85
160,3.193
3999,10.958
10371,15.878
2074,77.652
23523,21.761
168,1.992
118,1.867
256,2.736
492,1.902
279,2.526
11059,4.795
424,5.461
603,1.009
47,3.816
11579,75.209
151,2.044
1884,3.764
21164,22.162
415,3.041
14449,94.346
772,10.036
11224,276.527
1144,8.98
4227,3.898
1045,4.356
1727694,337.419
2534,10.217
928,3.571
7,3.557
688,2.743
1516,4.22
1944,5.258
679,4.316
601,3.399
42137,31.413
584,2.244
51,2.351
122036,206.258
183841,25.593
800,47.933
3759,1.758
6612,10.209
144,92.686
1054,7.768
5778,5.101
147,1.698
12886,4.823
13968,42.403
2468,62.08
2893,9.736
61,2.003
1076,3.107
489,3.463
1479,1.584
11654,42.753
384,1.05
1897,41.943
9954,15.152
609,11.678
10266,8.112
1145,1.542
339,1.4
3718,16.116
630,2.744
2828,11.741
898,14.488
10490,10.799
1874,5.205
296,1.144
20541,9.388
154,1.465
3973,3.541
999,2.651
445,20.737
91560,36.891
117333,51.091
1115,2.021
6562,2.096
3064,3.241
450,5.965
13855,65.44
9608,33.009
4346,4.851
4385,3.556
27622,9.063
17735,12.921
6162,3.005
13331,15.398
25562,24.955
5396,7.877
828,3.934
31042,16.174
303,2.384
688,7.985
16049,12.18
880,1.537
889,4.321
4950,12.039
886,1.4
1172,4.6
3922,2.624
4355,8.731
960,10.233
80,4.947
155,13.865
724,3.779
10024,8.898
2550,7.246
4936,53.714
82,4.256
2906,2.516
58,1.818
116,3.006
232,3.98
212,4.216
2375,16.289
5557,24.674
885,27.647
1979,16.589
97,2.394
11311,12.509
2688,2.178
644336,41.332
5384,10.671
61114,97.7
266,4.257
26157,9.67
30,0.84
552,1.972
2908,22.866
6251,8.919
4292,15.73
1265,44.358
681,1.851
2206,25.894
6680,3.099
750,2.513
1939,9.714
2837,2.947
14,1.24
6778,18.289
15379,9.044
6732,1.839
6199,5.065
8380,14.065
3736,8.869
2968,2.548
12303,5.849
54633,27.157
414,3.465
62140,13.557
247192,110.843
3274,33.647
4256,11.739
465995,156.231
148,2.985
16091,126.643
3467,13.039
5121,3.114
501,1.968
5143,10.875
18,2.269
129,5.449
6145,10.286
166,1.321
15176,16.397
981,2.73
1723,2.151
2051,19.427
2471,4.073
1165,3.445
53293,9.481
822,3.0
5,0.963
13,2.025
33,1.077
310,1.229
41,0.704
31,0.6
24142,101.31
